State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate
AK,Anchorage Police Department,61.17425,-149.284329,AK0010100,Anchorage,292545.0,26182.0,8.95
AK,Fairbanks Police Department,64.83945,-147.71942,AK0010200,Fairbanks,33018.0,2769.0,8.39
AK,Juneau Police Department,58.356556,-134.50731,AK0010300,Juneau,32240.0,2293.0,7.11
AK,Wasilla Police Department,62.182174,-149.407974,AK0015600,Wasilla,9098.0,1364.0,14.99
AK,Sitka Police Department,57.052124,-135.33418,AK0010900,Sitka,8518.0,573.0,6.73
AK,Ketchikan Police Department,55.449938,-131.106685,AK0010400,Ketchikan,8150.0,981.0,12.04
AK,Kenai Police Department,60.559402,-151.2507,AK0012300,Kenai,7452.0,1042.0,13.98
AK,Bethel Police Department,60.928916,-160.15335,AK0011300,Bethel,6273.0,803.0,12.8
AK,Palmer Police Department,61.602676,-149.11183,AK0011700,Palmer,5978.0,674.0,11.27
AK,Kodiak Police Department,57.8049,-152.37332,AK0010500,Kodiak,5682.0,505.0,8.89
AK,Homer Police Department,59.64873,-151.52992,AK0012200,Homer,5531.0,695.0,12.57
AK,Soldotna Police Department,60.481678,-151.07265,AK0012000,Soldotna,4370.0,823.0,18.83
AK,Unalaska Police Department,51.959447,178.338813,AK0013300,Unalaska,4339.0,280.0,6.45
AK,Valdez Police Department,61.34984,-145.023141,AK0011200,Valdez,3966.0,173.0,4.36
AK,Nome Police Department,64.783686,-164.188912,AK0010600,Nome,3685.0,249.0,6.76
AK,Petersburg Police Department,55.415683,-132.875734,AK0010700,Petersburg,3259.0,150.0,4.6
AK,Kotzebue Police Department,67.005066,-160.021086,AK0011600,Kotzebue,3199.0,465.0,14.54
AK,North Pole Police Department,64.75503,-147.35081,AK0013200,North Pole,2825.0,147.0,5.2
AK,Seward Police Department,60.366668,-152.322283,AK0010800,Seward,2614.0,219.0,8.38
AK,Cordova Police Department,61.34984,-145.023141,AK0011400,Cordova,2588.0,42.0,1.62
AK,Wrangell Police Department,56.279121,-132.040325,AK0011100,Wrangell,2162.0,258.0,11.93
AK,Dillingham Police Department,59.824816,-158.602233,AK0013000,Dillingham,2133.0,232.0,10.88
AK,Haines Police Department,59.098771,-135.576936,AK0012100,Haines,1571.0,92.0,5.86
AK,Skagway Police Department,59.575097,-135.335418,AK0011000,Skagway,1217.0,64.0,5.26
AK,Sand Point Police Department,55.245044,-161.997477,AK0015200,Sand Point,1164.0,122.0,10.48
AL,Huntsville Police Department,34.764238,-86.55108,AL0470100,Huntsville,210081.0,29379.0,13.98
AL,Birmingham Police Department,33.553444,-86.896536,AL0010200,Birmingham,202234.0,49752.0,24.6
AL,Montgomery Police Department,32.20365,-86.203831,AL0030100,Montgomery,201022.0,41068.0,20.43
AL,Mobile Police Department,30.673004,-88.09793,AL0020100,Mobile,187445.0,36496.0,19.47
AL,Tuscaloosa Police Department,33.173267,-87.55792,AL0630100,Tuscaloosa,99252.0,20272.0,20.42
AL,Hoover Police Department,33.38795,-86.80636,AL0011200,Hoover,91371.0,6041.0,6.61
AL,Auburn Police Department,32.608086,-85.475136,AL0430100,Auburn,74637.0,17439.0,23.37
AL,Dothan Police Department,31.225441,-85.3914,AL0380100,Dothan,70318.0,12622.0,17.95
AL,Decatur Police Department,34.454484,-86.846402,AL0520100,Decatur,57303.0,8568.0,14.95
AL,Madison Police Department,34.6994,-86.74227,AL0470200,Madison,55551.0,2745.0,4.94
AL,Florence Police Department,34.904122,-87.650997,AL0410100,Florence,39709.0,7649.0,19.26
AL,Vestavia Hills Police Department,33.553444,-86.896536,AL0010900,Vestavia Hills,38504.0,1475.0,3.83
AL,Phenix City Police Department,32.46812,-85.00083,AL0570100,Phenix City,38216.0,9875.0,25.84
AL,Prattville Police Department,32.459705,-86.47263,AL0040100,Prattville,37977.0,4623.0,12.17
AL,Gadsden Police Department,34.047648,-86.034522,AL0310200,Gadsden,34317.0,9110.0,26.55
AL,Alabaster Police Department,33.24704,-86.81563,AL0590400,Alabaster,33133.0,2188.0,6.6
AL,Opelika Police Department,32.604064,-85.353048,AL0430200,Opelika,30810.0,5235.0,16.99
AL,Northport Police Department,33.290202,-87.52286,AL0630200,Northport,30334.0,4001.0,13.19
AL,Enterprise Police Department,31.402258,-85.989602,AL0190200,Enterprise,28242.0,4502.0,15.94
AL,Daphne Police Department,30.599625,-87.898056,AL0050800,Daphne,27088.0,2276.0,8.4
AL,Homewood Police Department,33.479603,-86.791016,AL0011000,Homewood,26206.0,1908.0,7.28
AL,Bessemer Police Department,33.396152,-86.95345,AL0010100,Bessemer,26171.0,7397.0,28.26
AL,Athens Police Department,34.803825,-86.95889,AL0440100,Athens,25213.0,3362.0,13.33
AL,Trussville Police Department,33.553444,-86.896536,AL0012100,Trussville,25027.0,931.0,3.72
AL,Pelham Police Department,33.262937,-86.678104,AL0590600,Pelham,24134.0,991.0,4.11
AR,Little Rock Police Department,34.749084,-92.277565,AR0600200,Little Rock,201893.0,30881.0,15.3
AR,Fayetteville Police Department,36.06085,-94.15727,AR0720100,Fayetteville,92070.0,18074.0,19.63
AR,Fort Smith Police Department,35.38317,-94.4234,AR0660100,Fort Smith,89116.0,16650.0,18.68
AR,Springdale Police Department,36.18645,-94.12982,AR0720200,Springdale,85887.0,12840.0,14.95
AR,Jonesboro Police Department,35.838394,-90.70817,AR0160100,Jonesboro,77520.0,15173.0,19.57
AR,Rogers Police Department,36.337825,-94.256187,AR0040200,Rogers,68340.0,6524.0,9.55
AR,North Little Rock Police Department,34.77923,-92.26978,AR0600300,North Little Rock,64444.0,13890.0,21.55
AR,Conway Police Department,35.08855,-92.43863,AR0230100,Conway,63746.0,10892.0,17.09
AR,Bentonville Police Department,36.38833,-94.21991,AR0040100,Bentonville,52565.0,3691.0,7.02
AR,Pine Bluff Police Department,34.221638,-92.00195,AR0350100,Pine Bluff,41964.0,9010.0,21.47
AR,Hot Springs Police Department,34.578861,-93.146915,AR0260100,Hot Springs,38050.0,7456.0,19.6
AR,Benton Police Department,34.56359,-92.585594,AR0630100,Benton,34746.0,3684.0,10.6
AR,Sherwood Police Department,34.832664,-92.209816,AR0600400,Sherwood,32544.0,2507.0,7.7
AR,Bella Vista Police Department,36.337825,-94.256187,AR0042100,Bella Vista,29818.0,977.0,3.28
AR,Texarkana Police Department,33.421623,-94.04305,AR0460100,Texarkana,29492.0,6084.0,20.63
AR,Jacksonville Police Department,34.867607,-92.12715,AR0600100,Jacksonville,29385.0,5443.0,18.52
AR,Paragould Police Department,36.119922,-90.565241,AR0280100,Paragould,29327.0,5155.0,17.58
AR,Russellville Police Department,35.28542,-93.13359,AR0580100,Russellville,29057.0,5451.0,18.76
AR,Cabot Police Department,34.755114,-91.894132,AR0430200,Cabot,26411.0,2979.0,11.28
AR,West Memphis Police Department,35.146515,-90.17703,AR0180100,West Memphis,24666.0,6117.0,24.8
AR,Van Buren Police Department,35.438732,-94.348175,AR0170100,Van Buren,23213.0,4296.0,18.51
AR,Searcy Police Department,35.254722,-91.753158,AR0730100,Searcy,23074.0,4162.0,18.04
AR,Bryant Police Department,34.61423,-92.49969,AR0630200,Bryant,20399.0,992.0,4.86
AR,Maumelle Police Department,34.773988,-92.316515,AR0601600,Maumelle,19070.0,1112.0,5.83
AR,Centerton Police Department,36.337825,-94.256187,AR0041300,Centerton,17455.0,929.0,5.32
AZ,Phoenix Police Department,33.44825,-112.0817,AZ0072300,Phoenix,1591119.0,241238.0,15.16
AZ,Chandler Police Department,33.300625,-111.8382,AZ0070500,Chandler,272439.0,20397.0,7.49
AZ,Gilbert Police Department,33.330627,-111.78834,AZ0071100,Gilbert,262249.0,14013.0,5.34
AZ,Glendale Police Department,33.536736,-112.18246,AZ0071300,Glendale,245685.0,41884.0,17.05
AZ,Scottsdale Police Department,33.5695,-111.88542,AZ0072500,Scottsdale,238685.0,15978.0,6.69
AZ,Peoria Police Department,33.346541,-112.495534,AZ0072100,Peoria,187733.0,15740.0,8.38
AZ,Tempe Police Department,33.346541,-112.495534,AZ0072900,Tempe,178862.0,30594.0,17.1
AZ,Surprise Police Department,33.346541,-112.495534,AZ0072700,Surprise,141875.0,10580.0,7.46
AZ,Yuma Police Department,32.700336,-114.62042,AZ0140500,Yuma,95154.0,15774.0,16.58
AZ,Goodyear Police Department,33.490746,-112.362495,AZ0071500,Goodyear,93651.0,5701.0,6.09
AZ,Buckeye Police Department,33.375275,-112.573135,AZ0070300,Buckeye,89711.0,6900.0,7.69
AZ,Avondale Police Department,33.346541,-112.495534,AZ0070100,Avondale,88065.0,10165.0,11.54
AZ,Flagstaff Police Department,35.188972,-111.64146,AZ0030100,Flagstaff,76228.0,11064.0,14.51
AZ,Maricopa Police Department,32.919038,-111.367005,AZ0111700,Maricopa,57075.0,3896.0,6.83
AZ,Lake Havasu City Police Department,34.47879,-114.31841,AZ0080400,Lake Havasu City,56510.0,6643.0,11.76
AZ,Casa Grande Police Department,32.878384,-111.751495,AZ0110100,Casa Grande,53488.0,7506.0,14.03
AZ,Marana Police Department,32.447636,-111.20846,AZ0100900,Marana,50834.0,2823.0,5.55
AZ,Oro Valley Police Department,32.406918,-110.99574,AZ0100700,Oro Valley,46515.0,3122.0,6.71
AZ,Prescott Valley Police Department,34.59638,-112.33222,AZ0131100,Prescott Valley,46014.0,5323.0,11.57
AZ,Prescott Police Department,34.630044,-112.573745,AZ0130700,Prescott,45063.0,4856.0,10.78
AZ,Sierra Vista Police Department,31.56594,-110.27322,AZ0020900,Sierra Vista,44944.0,4731.0,10.53
AZ,Bullhead City Police Department,35.717705,-113.749689,AZ0080500,Bullhead City,41064.0,8144.0,19.83
AZ,Apache Junction Police Department,33.422348,-111.543236,AZ0111300,Apache Junction,38311.0,4855.0,12.67
AZ,El Mirage Police Department,33.346541,-112.495534,AZ0070700,El Mirage,35410.0,5138.0,14.51
AZ,San Luis Police Department,32.773942,-113.910905,AZ0140800,San Luis,35289.0,8097.0,22.94
CA,San Jose Police Department,37.220777,-121.690622,CA0431300,San Jose,1013337.0,77013.0,7.6
CA,San Francisco Police Department,37.775047,-122.40381,CA0380100,San Francisco,865933.0,87874.0,10.15
CA,Fresno Police Department,36.761006,-119.655019,CA0100500,Fresno,538678.0,121232.0,22.51
CA,Sacramento Police Department,38.520615,-121.49856,CA0340400,Sacramento,518605.0,75670.0,14.59
CA,Long Beach Police Department,34.196398,-118.261862,CA0194100,Long Beach,466565.0,70975.0,15.21
CA,Oakland Police Department,37.79965,-122.27459,CA0010900,Oakland,437548.0,58518.0,13.37
CA,Anaheim Police Department,33.675687,-117.777207,CA0300100,Anaheim,348204.0,44908.0,12.9
CA,Stockton Police Department,37.935034,-121.272237,CA0390500,Stockton,317818.0,50877.0,16.01
CA,Santa Ana Police Department,33.675687,-117.777207,CA0301900,Santa Ana,313818.0,37979.0,12.1
CA,Irvine Police Department,33.675687,-117.777207,CA0302600,Irvine,297868.0,35443.0,11.9
CA,Chula Vista Police Department,33.023604,-116.776117,CA0370200,Chula Vista,274818.0,24883.0,9.05
CA,Fremont Police Department,37.553017,-121.97069,CA0010500,Fremont,231502.0,11235.0,4.85
CA,Santa Clarita Police Department,34.06067,-118.167885,CA0191R0X,Santa Clarita,227182.0,18588.0,8.18
